[8.66666667e-03 9.91333333e-01]
[5.53333333e-02 9.44666667e-01]
[1.04666667e-01 8.95333333e-01]
[9.08666667e-01 9.13333333e-02]
[9.36666667e-01 6.33333333e-02]
[9.68666667e-01 3.13333333e-02]
[9.16666667e-01 8.33333333e-02]
[6.33333333e-02 9.36666667e-01]
[5.30666667e-01 4.69333333e-01]
[7.55333333e-01 2.44666667e-01]
[3.98666667e-01 6.01333333e-01]
[1.40000000e-02 9.86000000e-01]
[2.90666667e-01 7.09333333e-01]
[1.34666667e-01 8.65333333e-01]
[1.34666667e-01 8.65333333e-01]
[2.66666667e-03 9.97333333e-01]
[1.64000000e-01 8.36000000e-01]
[2.33333333e-02 9.76666667e-01]
[3.59333333e-01 6.40666667e-01]
[4.26666667e-02 9.57333333e-01]
[9.68666667e-01 3.13333333e-02]
[8.66666667e-03 9.91333333e-01]
[8.96000000e-01 1.04000000e-01]
[1.07333333e-01 8.92666667e-01]
[1.13333333e-02 9.88666667e-01]
[1.07333333e-01 8.92666667e-01]
[9.88000000e-01 1.20000000e-02]
[1.94000000e-01 8.06000000e-01]
[6.67333333e-01 3.32666667e-01]
[9.39333333e-01 6.06666667e-02]
[2.06666667e-02 9.79333333e-01]
[9.67333333e-01 3.26666667e-02]
[5.56000000e-01 4.44000000e-01]
[3.64000000e-01 6.36000000e-01]
[9.90666667e-01 9.33333333e-03]
[5.06666667e-01 4.93333333e-01]
[8.10000000e-01 1.90000000e-01]
[2.49333333e-01 7.50666667e-01]
[1.06666667e-01 8.93333333e-01]
[1.40000000e-02 9.86000000e-01]
[6.68666667e-01 3.31333333e-01]
[6.22000000e-01 3.78000000e-01]
[9.58000000e-01 4.20000000e-02]
[6.70000000e-01 3.30000000e-01]
[9.04000000e-01 9.60000000e-02]
[5.10000000e-01 4.90000000e-01]
[1.86000000e-01 8.14000000e-01]
[2.00000000e-03 9.98000000e-01]
[6.26666667e-02 9.37333333e-01]
[5.97333333e-01 4.02666667e-01]
[6.09333333e-01 3.90666667e-01]
[9.44000000e-01 5.60000000e-02]
[6.41333333e-01 3.58666667e-01]
[9.72000000e-01 2.80000000e-02]
[2.84000000e-01 7.16000000e-01]
[8.78000000e-01 1.22000000e-01]
[3.66666667e-02 9.63333333e-01]
[7.58666667e-01 2.41333333e-01]
[5.13333333e-02 9.48666667e-01]
[9.87333333e-01 1.26666667e-02]
[3.26666667e-02 9.67333333e-01]
[5.62000000e-01 4.38000000e-01]
[9.99333333e-01 6.66666667e-04]
[6.66666667e-04 9.99333333e-01]
[9.08000000e-01 9.20000000e-02]
[9.92000000e-01 8.00000000e-03]
[7.56666667e-01 2.43333333e-01]
[9.90666667e-01 9.33333333e-03]
[9.74666667e-01 2.53333333e-02]
[2.80000000e-02 9.72000000e-01]
[4.26666667e-02 9.57333333e-01]
[9.86666667e-01 1.33333333e-02]
[2.93333333e-02 9.70666667e-01]
[9.55333333e-01 4.46666667e-02]
[9.60000000e-01 4.00000000e-02]
[9.74000000e-01 2.60000000e-02]
[9.55333333e-01 4.46666667e-02]
[6.86666667e-02 9.31333333e-01]
[9.80000000e-01 2.00000000e-02]
[0.00000000e+00 1.00000000e+00]
[3.20000000e-02 9.68000000e-01]
